Partition_Name,Type,Size_KB,,Region,Group,Reserved,Download,Download_File,OTA_Update,EmptyBoot_Needed,FastBoot_Erase,,FastBoot_Download,,Operation_Type
,,eng,user,,,,,,,,eng,user,eng,user,
preloader,Raw data,256,,UFS_LU0_LU1,,N,Y,AUTO,Y,N,N,,N,,BOOTLOADERS
pgpt,Raw data,32,,UFS_LU2,,N,N,NONE,N,N,Y,N,Y,N,AUTO
boot_para,Raw data,1024,,UFS_LU2,,N,N,NONE,N,N,N,,N,,AUTO
recovery,Raw data,32768,,UFS_LU2,,N,Y,recovery.img,Y,N,Y,,Y,,AUTO
para,Raw data,512,,UFS_LU2,,N,N,NONE,N,N,N,,N,,AUTO
custom,EXT4,56320,,UFS_LU2,,N,Y,AUTO,N,N,N,,N,,AUTO
expdb,Raw data,20480,,UFS_LU2,,N,N,NONE,N,N,N,,N,,AUTO
frp,Raw data,1024,,UFS_LU2,,N,N,NONE,N,N,N,,N,,AUTO
vbmeta,Raw data,8192,,UFS_LU2,,N,Y,vbmeta.img,Y,N,Y,,Y,,AUTO
vbmeta_system,Raw data,8192,,UFS_LU2,,N,Y,vbmeta_system.img,Y,N,Y,,Y,,AUTO
vbmeta_vendor,Raw data,8192,,UFS_LU2,,N,Y,vbmeta_vendor.img,Y,N,Y,,Y,,AUTO
nvcfg,EXT4,32768,,UFS_LU2,,N,N,NONE,N,N,N,,N,,PROTECTED
nvdata,EXT4,65536,,UFS_LU2,,N,N,NONE,N,N,N,,N,,AUTO
metadata,Raw data,32768,,UFS_LU2,,N,N,NONE,N,N,N,,N,,AUTO
protect1,EXT4,8192,,UFS_LU2,,N,N,NONE,N,N,N,,N,,PROTECTED
protect2,EXT4,8192,,UFS_LU2,,N,N,NONE,N,N,N,,N,,PROTECTED
seccfg,Raw data,512,,UFS_LU2,,N,N,NONE,N,N,N,,N,,AUTO
persist,EXT4,49152,,UFS_LU2,,N,N,NONE,N,N,N,,N,,PROTECTED
sec1,Raw data,2048,,UFS_LU2,,N,N,NONE,N,N,N,,N,,AUTO
proinfo,Raw data,3072,,UFS_LU2,,N,N,NONE,N,N,N,,N,,PROTECTED
efuse,Raw data,512,,UFS_LU2,,N,Y,efuse.img,N,N,N,,N,,AUTO
